CONTRATISTA;PRODUCTO DE CLIENTE;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECTURAS;11;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;SUSPENSION;968;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;RECONEXION;24137;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;ASISTENCIA TECNICA;23851;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;CESES;2074;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;ATC;1852;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECT. IND. REGULADAS;2054;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECT. IND. NO REGULADAS;4984;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECT. IND.  VIP-SGC;4987;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECT. IND. SSEE;4990;
BSI COLOMBIA S.A. Gas Natural S.A. ESP;LECTURA PREVIA;14382;
MECM Gas Natural S.A. ESP;LECTURAS;186;
MECM Gas Natural S.A. ESP;SUSPENSION;969;
MECM Gas Natural S.A. ESP;RECONEXION;1867;
MECM Gas Natural S.A. ESP;ASISTENCIA TECNICA;3584;
MECM Gas Natural S.A. ESP;CESES;3585;
MECM Gas Natural S.A. ESP;LECTURA PREVIA;5261;
LECTA LTDA Gas Natural S.A. ESP;LECTURAS;209;
LECTA LTDA Gas Natural S.A. ESP;SUSPENSION;976;
LECTA LTDA Gas Natural S.A. ESP;RECONEXION;1865;
LECTA LTDA Gas Natural S.A. ESP;ASISTENCIA TECNICA;2642;
LECTA LTDA Gas Natural S.A. ESP;CESES;2643;
LECTA LTDA Gas Natural S.A. ESP;LECTURA PREVIA;5260;
SGS COLOMBIA S.A. Gas Natural S.A. ESP;LECTURAS;233;
SGS COLOMBIA S.A. Gas Natural S.A. ESP;INSPECCIONES;654;
SGS COLOMBIA S.A. Gas Natural S.A. ESP;PRELECTURAS;750;
SGS COLOMBIA S.A. Gas Natural S.A. ESP;GESTION DE COBROS;35151;
DESARROLLO - LECTURAS FIVESOFT;LECTURAS;250;
DESARROLLO - LECTURAS FIVESOFT;SUSPENSION;8596;
DESARROLLO - LECTURAS FIVESOFT;RESEGUIMIENTO;24527;
DESARROLLO - LECTURAS FIVESOFT;PATRULLAJE;26923;
